timestamp,open,high,low,close,volume,timestamp_date
1758183540000,0.096748,0.096787,0.096748,0.096787,10.9830625,2025-09-18 08:19:00
1758183600000,0.096838,0.096886,0.096838,0.096886,11.042292,2025-09-18 08:20:00
1758183660000,0.096912,0.096957,0.096912,0.096957,11.292903,2025-09-18 08:21:00
1758183720000,0.096985,0.097005,0.096985,0.097005,10.9119225,2025-09-18 08:22:00
1758183780000,0.097063,0.097063,0.097045,0.097045,11.3068045,2025-09-18 08:23:00
1758183840000,0.097076,0.097095,0.097076,0.097095,11.164804,2025-09-18 08:24:00
1758183900000,0.097122,0.097128,0.097122,0.097128,11.120799,2025-09-18 08:25:00
1758183960000,0.097135,0.097142,0.097135,0.097142,10.782377,2025-09-18 08:26:00
1758184020000,0.09715,0.097237,0.09715,0.097237,10.934247,2025-09-18 08:27:00
1758184080000,0.097237,0.097237,0.097186,0.097186,10.936332,2025-09-18 08:28:00
1758184140000,0.097193,0.097222,0.097193,0.097222,11.178848,2025-09-18 08:29:00
1758184200000,0.097201,0.097204,0.097201,0.097204,11.081082,2025-09-18 08:30:00
1758184260000,0.097204,0.097204,0.097155,0.097155,10.835502,2025-09-18 08:31:00
1758184320000,0.097138,0.097142,0.097138,0.097142,11.122521,2025-09-18 08:32:00
1758184380000,0.097144,0.097144,0.097144,0.097144,11.365848,2025-09-18 08:33:00
1758184440000,0.097221,0.097221,0.097172,0.097172,11.2261345,2025-09-18 08:34:00
1758184500000,0.097181,0.097182,0.097181,0.097182,11.224462,2025-09-18 08:35:00
1758184560000,0.097195,0.097209,0.097195,0.097209,11.3240505,2025-09-18 08:36:00
1758184620000,0.097256,0.097324,0.097256,0.097324,11.042364,2025-09-18 08:37:00
1758184680000,0.097308,0.097316,0.097308,0.097316,11.044906,2025-09-18 08:38:00
1758184740000,0.097344,0.097384,0.097344,0.097384,11.245512,2025-09-18 08:39:00
1758184800000,0.097406,0.09742,0.097406,0.09742,11.251219,2025-09-18 08:40:00
1758184860000,0.097432,0.09744,0.097432,0.09744,11.448728,2025-09-18 08:41:00
1758184920000,0.097527,0.097527,0.097443,0.097443,11.2593705,2025-09-18 08:42:00
1758184980000,0.097413,0.097413,0.097325,0.097325,11.3435545,2025-09-18 08:43:00
1758185040000,0.097402,0.097402,0.097392,0.097392,10.957175,2025-09-18 08:44:00
1758185100000,0.097397,0.097397,0.097334,0.097334,11.245668,2025-09-18 08:45:00
1758185160000,0.097285,0.097285,0.097247,0.097247,11.0884,2025-09-18 08:46:00
1758185220000,0.09723,0.097288,0.09723,0.097288,10.94171,2025-09-18 08:47:00
1758185280000,0.097278,0.097326,0.097278,0.097326,11.433021,2025-09-18 08:48:00
1758185340000,0.097238,0.097296,0.097238,0.097296,11.428887,2025-09-18 08:49:00
1758185400000,0.097247,0.097276,0.097247,0.097276,11.4282045,2025-09-18 08:50:00
1758185460000,0.097276,0.097334,0.097276,0.097334,10.752217,2025-09-18 08:51:00
1758185520000,0.097363,0.097363,0.097333,0.097333,11.0490355,2025-09-18 08:52:00
1758185580000,0.097323,0.097323,0.097323,0.097323,11.1434835,2025-09-18 08:53:00
1758185640000,0.097243,0.097243,0.097213,0.097213,11.1326735,2025-09-18 08:54:00
1758185700000,0.097281,0.097281,0.097203,0.097203,11.1341895,2025-09-18 08:55:00
1758185760000,0.097151,0.097157,0.097151,0.097157,11.07555,2025-09-18 08:56:00
1758185820000,0.097186,0.097201,0.097186,0.097201,11.080074,2025-09-18 08:57:00
1758185880000,0.097228,0.097276,0.097228,0.097276,11.13527,2025-09-18 08:58:00
1758185940000,0.097289,0.097333,0.097289,0.097333,11.190677,2025-09-18 08:59:00
1758186000000,0.097344,0.09735,0.097344,0.09735,11.048883,2025-09-18 09:00:00
1758186060000,0.097359,0.097407,0.097359,0.097407,10.7608335,2025-09-18 09:01:00
1758186120000,0.097368,0.097368,0.097368,0.097368,11.002584,2025-09-18 09:02:00
1758186180000,0.097368,0.097368,0.097351,0.097351,11.050299,2025-09-18 09:03:00
1758186240000,0.097389,0.097418,0.097389,0.097418,11.493613,2025-09-18 09:04:00
1758186300000,0.097408,0.097408,0.097378,0.097378,11.248899,2025-09-18 09:05:00
1758186360000,0.097348,0.097396,0.097348,0.097396,11.29508,2025-09-18 09:06:00
1758186420000,0.097386,0.097386,0.097356,0.097356,11.295036,2025-09-18 09:07:00
1758186480000,0.097268,0.097316,0.097268,0.097316,11.237142,2025-09-18 09:08:00
1758186540000,0.097306,0.097307,0.097306,0.097307,11.4821675,2025-09-18 09:09:00
1758186600000,0.097394,0.097442,0.097394,0.097442,10.959561,2025-09-18 09:10:00
1758186660000,0.097401,0.097488,0.097401,0.097488,11.498451,2025-09-18 09:11:00
1758186720000,0.097478,0.097478,0.097478,0.097478,11.356187,2025-09-18 09:12:00
1758186780000,0.097497,0.097497,0.097487,0.097487,10.8703655,2025-09-18 09:13:00
1758186840000,0.097409,0.097409,0.097379,0.097379,11.4437725,2025-09-18 09:14:00
1758186900000,0.097466,0.097514,0.097466,0.097514,11.065127,2025-09-18 09:15:00
1758186960000,0.097514,0.097582,0.097514,0.097582,10.974235,2025-09-18 09:16:00
1758187020000,0.097366,0.097453,0.097366,0.097388,979.660503280344,2025-09-18 09:17:00
1758187080000,0.097402,0.097416,0.097402,0.097416,11.055946,2025-09-18 09:18:00
