name;open;high;low;close;volume;marketCap;timestamp
"825";0.1604523821;0.1937993499;0.1570117841;0.188438949;427388769.7694366;1799338201.3789506;"2024-09-22 20:00:00"
"825";0.1884623404;0.1909876675;0.1482143296;0.1641306471;346397235.3218121;1566882301.677409;"2024-09-29 20:00:00"
"825";0.1641366738;0.175090991;0.1489694457;0.1656354937;452563635.35160583;1581079038.9259448;"2024-10-06 20:00:00"
"825";0.1656324576;0.1792197312;0.162307587;0.1791249351;603814431.7892326;1710838988.906386;"2024-10-13 20:00:00"
"825";0.1791482554;0.1796630259;0.1479361659;0.1555847041;436518278.88703245;1484096622.6480348;"2024-10-20 20:00:00"
"825";0.1555610893;0.1612236749;0.1320180318;0.1366841024;432077568.94436866;1306305397.8728383;"2024-10-27 20:00:00"
"825";0.1366915856;0.1845588434;0.1289303514;0.1782056532;557816616.0034101;1703318141.3203833;"2024-11-03 19:00:00"
"825";0.1782017598;0.2099720674;0.1670778289;0.1920168529;960498339.0550739;1832614125.8970256;"2024-11-10 19:00:00"
"825";0.1920348984;0.2630785499;0.1903657378;0.2582201345;1485719295.3729692;2467539364.912157;"2024-11-17 19:00:00"
"825";0.2582444549;0.2958563279;0.2291154616;0.2892463193;1293545153.8054075;2761330391.556458;"2024-11-24 19:00:00"
"825";0.2891903892;0.3479947982;0.270495112;0.3203264787;1632145664.2700253;3058084549.425469;"2024-12-01 19:00:00"
"825";0.3232772999;0.3233553531;0.2362940732;0.2869750389;1254019582.3389974;2737346521.36015;"2024-12-08 19:00:00"
"825";0.2870319201;0.2921408309;0.1846318552;0.2057202667;1199412836.851624;1963500716.0095432;"2024-12-15 19:00:00"
"825";0.2057342067;0.2339801796;0.2007222555;0.2072406109;575883526.0574573;1976963994.4007213;"2024-12-22 19:00:00"
"825";0.2072220647;0.2461246378;0.1961390739;0.2432478214;632910025.7071592;2326746755.976698;"2024-12-29 19:00:00"
"825";0.2432487106;0.2549618524;0.1988024555;0.2017673628;729825627.5244929;1925875837.3504257;"2025-01-05 19:00:00"
"825";0.2017699658;0.2382863642;0.1811899861;0.1969337628;931349926.5970018;1879048973.0177252;"2025-01-12 19:00:00"
"825";0.196917687;0.2186084702;0.1799084307;0.1811195144;719538682.7954421;1730995484.8245645;"2025-01-19 19:00:00"
"825";0.1811148024;0.1908648764;0.1395950625;0.1441500753;628766834.8551108;1376499173.5555508;"2025-01-26 19:00:00"
"825";0.1441522534;0.1503894022;0.1103711436;0.1325378763;589214926.2467281;1266232848.1209474;"2025-02-02 19:00:00"
"825";0.1325535122;0.1479435458;0.1278870149;0.1384367601;431403116.75777626;1321787419.4731877;"2025-02-09 19:00:00"
"825";0.1384610544;0.1488273532;0.1270160461;0.1371376126;372682367.2178739;1309628116.5937083;"2025-02-16 19:00:00"
"825";0.1371419494;0.1374691736;0.1111461425;0.1291389465;600645358.8873401;1233171005.7714052;"2025-02-23 19:00:00"
"825";0.1291421197;0.1295420243;0.0895453561;0.0909797456;406006246.5733894;868349226.0401859;"2025-03-02 19:00:00"
"825";0.0909706056;0.0970428919;0.0803759865;0.0915555157;334161650.4850484;874389125.9235903;"2025-03-09 20:00:00"
"825";0.0915630864;0.1001360527;0.0915122569;0.0965297406;238670095.62275118;943658212.4220417;"2025-03-16 20:00:00"
"825";0.0965078948;0.1083388767;0.0876825022;0.0890604992;240712512.97497553;870318013.6864109;"2025-03-23 20:00:00"
"825";0.0890702724;0.0933055071;0.0717824304;0.0731536972;264025595.94708556;714714294.0650686;"2025-03-30 20:00:00"
"825";0.073163884;0.0837409982;0.0670954842;0.0788344485;314651384.2115107;770992709.5094917;"2025-04-06 20:00:00"
"825";0.0787766935;0.0846061164;0.0752363864;0.0833219894;236570175.39820215;814848052.1681464;"2025-04-13 20:00:00"
"825";0.0833283723;0.1065816361;0.0816597471;0.0981960618;312737472.1046138;960175468.9998448;"2025-04-20 20:00:00"
"825";0.0981864668;0.1039701536;0.0898768355;0.0899876256;246966524.94258958;879426782.1176485;"2025-04-27 20:00:00"
"825";0.0899928153;0.1259640088;0.0865218239;0.1181095399;398199515.7811634;1160670669.7352772;"2025-05-04 20:00:00"
"825";0.1181244369;0.1309197208;0.1041473346;0.1145705568;415926300.1630942;1128510870.182374;"2025-05-11 20:00:00"
"825";0.1145454169;0.1250104957;0.1041596109;0.1101439464;380671239.7781668;1084954478.8197482;"2025-05-18 20:00:00"
"825";0.1101510496;0.1149910032;0.0896185882;0.0960555497;355583150.42742646;946237076.2170323;"2025-05-25 20:00:00"
"825";0.0960690571;0.1008110573;0.0862432629;0.0915446439;241647745.59410888;902057886.6625249;"2025-06-01 20:00:00"
"825";0.0915534558;0.1027005726;0.0832923414;0.0867086709;306980891.5150661;853703053.0125111;"2025-06-08 20:00:00"
"825";0.0867009598;0.0916710458;0.069766555;0.0731161589;258949531.7675074;722167413.8748084;"2025-06-15 20:00:00"
